# Every mutant of the 'client' block that survived every project,
# classified against Hermod cc8323d5 — the revision the sweep measured.
# Line numbers move; this file does not.
# file	line	operator	kind	source
DNS/Client/Cache/DNSCache.cs	129	true-to-false	branch	IsAuthoritativeAnswer:  true,
DNS/Client/DNSClient.cs	185	true-to-false	noise-region	#region DNSClient(DNSServer,  Port = null, QueryTimeout = null, UseQueryCache = true, ...)
DNS/Client/DNSTCPClient.cs	192	true-to-false	branch	this.RecursionDesired  = RecursionDesired ?? true;
DNS/Client/DNSTLSClient.cs	286	true-to-false	branch	this.RecursionDesired  = RecursionDesired ?? true;
DNS/Client/DNSUDPClient.cs	139	false-to-true	branch	=> false;
DNS/Client/IDNSClient.cs	57	greater-to-ge	noise-region	#region Query<T>            (DomainName,             Timeout = null, RecursionDesired = true, ForceUpdate = false, ...)
DNS/Client/Cache/DNSCache.cs	130	false-to-true	branch	IsTruncated:            false,
DNS/Client/DNSClient.cs	197	true-to-false	branch	Boolean?              UseQueryCache   = true,
DNS/Client/DNSHTTPSClient.cs	332	true-to-false	branch	true,
DNS/Client/DNSKeepalivePolicy.cs	141	false-to-true	host-only	await closeConnection().ConfigureAwait(false);
DNS/Client/DNSTCPClient.cs	202	true-to-false	noise-region	#region Query (DomainName,     ResourceRecordTypes, Timeout = null, RecursionDesired = true, ForceUpdate = false, ...)
DNS/Client/DNSTLSClient.cs	355	true-to-false	branch	true,
DNS/Client/DNSUDPClient.cs	224	true-to-false	noise-region	#region Query (DomainName,     ResourceRecordTypes, Timeout = null, RecursionDesired = true, ForceUpdate = false, ...)
DNS/Client/IDNSClient.cs	57	true-to-false	noise-region	#region Query<T>            (DomainName,             Timeout = null, RecursionDesired = true, ForceUpdate = false, ...)
DNS/Client/Cache/DNSCache.cs	131	false-to-true	branch	RecursionDesired:       false,
DNS/Client/DNSClient.cs	218	true-to-false	noise-region	#region DNSClient(DNSServers, Port = null, QueryTimeout = null, UseQueryCache = true, ...)
DNS/Client/DNSHTTPSClient.cs	346	true-to-false	branch	true,
DNS/Client/DNSKeepalivePolicy.cs	171	false-to-true	host-only	if (!await streamLock.WaitAsync(TimeSpan.Zero).ConfigureAwait(false))
