# Every mutant of the 'core' block that survived every project,
# classified against Hermod e592b5e7 — the revision the sweep measured.
# Line numbers move; this file does not.
# file	line	operator	kind	source
DNS/DNSInfo.cs	48	false-to-true	noise-default	Boolean                          AuthenticData      = false,
DNS/DNSNamePattern.cs	40	true-to-false	branch	=> DNSNamePattern?.FullName.IsNullOrEmpty() ?? true;
DNS/DNSQuestion.cs	95	true-to-false	noise-region	#region Serialize(Stream, CurrentOffset, UseCompression = true, CompressionOffsets = null)
DNS/DNSServiceInstanceName.cs	43	true-to-false	branch	=> DNSServiceInstance?.FullName.IsNullOrEmpty() ?? true;
DNS/DNSServiceName.cs	43	true-to-false	branch	=> DNSService?.FullName.IsNullOrEmpty() ?? true;
DNS/DNSZoneFile.cs	92	true-to-false	noise-attribute	[NotNullWhen(true)]  out List<IDNSResourceRecord> Records,
DNS/DomainName.cs	41	true-to-false	branch	=> DomainName?.FullName.IsNullOrEmpty() ?? true;
DNS/Helpers/DNSTools.cs	33	true-to-false	branch	private static readonly UTF8Encoding strictUTF8 = new(false, true);
DNS/IDomainName.cs	40	true-to-false	branch	=> DomainName?.FullName.IsNullOrEmpty() ?? true;
DNS/DNSInfo.cs	49	false-to-true	noise-default	Boolean                          CheckingDisabled   = false)
DNS/DNSNamePattern.cs	46	true-to-false	branch	public static Boolean IsNotNullOrEmpty([NotNullWhen(true)] this DNSNamePattern? DNSNamePattern)
DNS/DNSQuestion.cs	106	true-to-false	noise-default	Boolean                     UseCompression       = true,
DNS/DNSServiceInstanceName.cs	49	true-to-false	branch	public static Boolean IsNotNullOrEmpty([NotNullWhen(true)] this DNSServiceInstanceName? DNSServiceInstance)
DNS/DNSServiceName.cs	49	true-to-false	branch	public static Boolean IsNotNullOrEmpty([NotNullWhen(true)] this DNSServiceName? DNSService)
DNS/DNSZoneFile.cs	93	false-to-true	noise-attribute	[NotNullWhen(false)] out String?                  ErrorResponse,
DNS/DomainName.cs	47	true-to-false	branch	public static Boolean IsNotNullOrEmpty([NotNullWhen(true)] this DomainName? DomainName)
DNS/Helpers/DNSTools.cs	33	false-to-true	branch	private static readonly UTF8Encoding strictUTF8 = new(false, true);
DNS/IDomainName.cs	46	true-to-false	branch	public static Boolean IsNotNullOrEmpty([NotNullWhen(true)] this IDomainName? DomainName)
DNS/DNSInfo.cs	263	false-to-true	noise-default	Boolean                          AuthenticData      = false,
DNS/DNSNamePattern.cs	47	false-to-true	branch	=> DNSNamePattern?.FullName.IsNotNullOrEmpty() ?? false;
DNS/DNSQuestion.cs	127	equality-to-inequality	noise-region	#region Operator == (DNSQuestion1, DNSQuestion2)
