# Every mutant of the 'dnssec' block that survived every project,
# classified against Hermod 53f20591 — the revision the sweep measured.
# Line numbers move; this file does not.
# file	line	operator	kind	source
DNS/DNSSEC/CDSAcceptance.cs	134	greater-to-ge	boundary	if (sentinels > 0 && records.Length != 1)
DNS/DNSSEC/DNSSECCanonical.cs	140	logical-and-to-or	branch	if (labels.Length == 1 && labels[0].Length == 0)
DNS/DNSSEC/DNSSECSigning.cs	289	false-to-true	branch	var parameters = rsa.ExportParameters(false);
DNS/DNSSEC/DNSSECSigningKey.cs	64	inequality-to-equality	branch	=> (DNSKEY.Flags & 0x0001) != 0;
DNS/DNSSEC/DNSSECValidator.cs	195	false-to-true	host-only	).ConfigureAwait(false);
DNS/DNSSEC/DNSSECZoneSigner.cs	34	false-to-true	branch	Boolean  OptOut       = false)
DNS/DNSSEC/DenialOfExistence.cs	97	greater-to-ge	boundary	if (nsecs.Length > 0)
DNS/DNSSEC/DNSSECSigning.cs	300	le-to-less	boundary	if (exponent.Length <= Byte.MaxValue)
DNS/DNSSEC/DNSSECSigningKey.cs	84	false-to-true	noise-region	#region (static) Generate(Zone, Algorithm, KeySigningKey = false, RSAKeySize = 2048, TimeToLive = null)
DNS/DNSSEC/DNSSECValidator.cs	233	logical-and-to-or	branch	a => (a.KeyTag == liveKeyTag || a.KeyTag == keyTag) &&
DNS/DNSSEC/DNSSECZoneSigner.cs	173	equality-to-inequality	branch	if (keyKeys. Length == 0) keyKeys  = keys;
DNS/DNSSEC/DenialOfExistence.cs	118	logical-and-to-or	branch	var usable     = Records.Where(nsec3 => nsec3.HashAlgorithm == reference.HashAlgorithm &&
DNS/DNSSEC/DNSSECSigning.cs	323	false-to-true	branch	var parameters = ecdsa.ExportParameters(false);
DNS/DNSSEC/DNSSECSigningKey.cs	96	false-to-true	branch	Boolean     KeySigningKey   = false,
DNS/DNSSEC/DNSSECZoneSigner.cs	204	false-to-true	rejection	return false;
DNS/DNSSEC/DenialOfExistence.cs	119	logical-and-to-or	branch	nsec3.Iterations    == reference.Iterations    &&
DNS/DNSSEC/DNSSECCanonical.cs	200	less-to-less-or-equal	boundary	for (var i = 0; i < length; i++)
DNS/DNSSEC/DNSSECValidator.cs	237	greater-to-ge	boundary	if (removed > 0)
DNS/DNSSEC/DNSSECZoneSigner.cs	207	logical-or-to-and	branch	return Record.Type == DNSResourceRecordTypes.DS ||
DNS/DNSSEC/DenialOfExistence.cs	212	le-to-less	boundary	for (var skip = 1; skip <= labels.Length; skip++)
DNS/DNSSEC/DNSSECValidator.cs	238	true-to-false	branch	modified = true;
DNS/DNSSEC/DNSSECZoneSigner.cs	207	equality-to-inequality	branch	return Record.Type == DNSResourceRecordTypes.DS ||
DNS/DNSSEC/DenialOfExistence.cs	218	equality-to-inequality	branch	Records.Any(nsec => CompareCanonical(nsec.DomainName.ToString(), wildcard) == 0))
DNS/DNSSEC/DNSSECValidator.cs	259	logical-and-to-or	branch	a => a.KeyTag    == keyTag &&
DNS/DNSSEC/DNSSECZoneSigner.cs	208	equality-to-inequality	branch	Record.Type == DNSResourceRecordTypes.NSEC;
DNS/DNSSEC/DenialOfExistence.cs	278	greater-to-ge	boundary	var afterLow = CompareHashes(hash, owner) >  0;
DNS/DNSSEC/DNSSECValidator.cs	259	equality-to-inequality	branch	a => a.KeyTag    == keyTag &&
DNS/DNSSEC/DNSSECZoneSigner.cs	238	equality-to-inequality	branch	var signers = rrset.Key.Type == DNSResourceRecordTypes.DNSKEY
DNS/DNSSEC/DenialOfExistence.cs	279	less-to-less-or-equal	boundary	var beforeHi = CompareHashes(hash, next)  <  0;
DNS/DNSSEC/DNSSECValidator.cs	260	equality-to-inequality	branch	a.Algorithm == key.Algorithm
DNS/DNSSEC/DNSSECZoneSigner.cs	381	logical-or-to-and	branch	if (dot < 0 || dot + 1 >= name.Length)
DNS/DNSSEC/DenialOfExistence.cs	284	ge-to-greater	boundary	var wraps    = CompareHashes(owner, next) >= 0;
DNS/DNSSEC/DNSSECValidator.cs	293	ge-to-greater	boundary	if (Timestamp.Now - pending.FirstSeen >= AddHoldDownTime)
DNS/DNSSEC/DNSSECZoneSigner.cs	381	less-to-less-or-equal	boundary	if (dot < 0 || dot + 1 >= name.Length)
DNS/DNSSEC/DenialOfExistence.cs	286	logical-or-to-and	branch	if (wraps ? (afterLow || beforeHi)
DNS/DNSSEC/DNSSECValidator.cs	297	true-to-false	branch	modified = true;
DNS/DNSSEC/DNSSECZoneSigner.cs	381	ge-to-greater	boundary	if (dot < 0 || dot + 1 >= name.Length)
DNS/DNSSEC/DenialOfExistence.cs	287	logical-and-to-or	branch	: (afterLow && beforeHi))
