# Every mutant of the 'server' block that survived every project,
# classified against Hermod cc8323d5 — the revision the sweep measured.
# Line numbers move; this file does not.
# file	line	operator	kind	source
DNS/Server/AuthoritativeDNSRequestHandler.cs	90	false-to-true	noise-default	Boolean        RequireDNSCookies    = false)
DNS/Server/DNSCookies.cs	159	logical-or-to-and	branch	if (ServerCookie.Length != ServerCookieSize ||
DNS/Server/DNSMessagePipeline.cs	150	less-to-less-or-equal	boundary	if (RequestBytes.Length < 12)
DNS/Server/DNSOverHTTPSServer.cs	184	false-to-true	branch	Boolean?             AutoStart          = false)
DNS/Server/DNSServer.cs	290	equality-to-inequality	branch	var portChosenBySystem = LocalSocket.Port.ToUInt16() == 0;
DNS/Server/DNSServerOptions.cs	37	true-to-false	branch	public Boolean   EnableUDPUnicast       { get; init; } = true;
DNS/Server/IDNSZoneStore.cs	182	false-to-true	noise-default	Boolean            DNSSECOK            = false,
DNS/Server/AuthoritativeDNSRequestHandler.cs	188	false-to-true	rejection	return false;
DNS/Server/DNSCookies.cs	160	logical-or-to-and	branch	ClientCookie.Length != 8                ||
DNS/Server/DNSMessagePipeline.cs	202	true-to-false	noise-region	#region SerializeMessageResponse (Response, Request, Context, HonorRequestorPayloadSize = true)
DNS/Server/DNSOverHTTPSServer.cs	205	false-to-true	branch	CheckCertificateRevocation: false,
DNS/Server/DNSServerOptions.cs	39	true-to-false	branch	public Boolean   EnableUDPMulticast     { get; init; } = true;
DNS/Server/AuthoritativeDNSRequestHandler.cs	237	logical-or-to-and	branch	if (Question.QueryType == DNSResourceRecordTypes.CNAME ||
DNS/Server/DNSCookies.cs	181	greater-to-ge	boundary	if (age >  (Int32) (Validity  ?? DefaultValidity). TotalSeconds ||
DNS/Server/DNSOverHTTP2Server.cs	222	logical-and-to-or	branch	this.http11Renderer  = ServeHTTP11ViaALPN && certificate is not null
DNS/Server/DNSOverHTTPSServer.cs	211	true-to-false	branch	DisableMaintenanceTasks:    true,
DNS/Server/DNSServer.cs	318	logical-or-to-and	branch	catch (SocketException e) when (e.SocketErrorCode == SocketError.AddressFamilyNotSupported ||
DNS/Server/DNSServerOptions.cs	41	true-to-false	branch	public Boolean   EnableTCPUnicast       { get; init; } = true;
DNS/Server/AuthoritativeDNSRequestHandler.cs	251	less-to-less-or-equal	boundary	for (var depth = 0; depth < MaxCanonicalNameChainLength; depth++)
